"LAKE_ID","basin","Waterbody_Classification","WATER","eutrophic","mesotrophic","oligotrophic","anoxic","lower DO than WQS","healthy DO","low PH","high PH","high color","healthy UVDOC","hardwater","softwater","healthy","ignore ChlA from DP","<NA>","rejected epi data","errors","eut.wo.err"
"1301UWB1031","_13","B","Turtle Pond",3,0,0,1,0,0,0,2,1,0,0,3,3,0,38,3,"AMMONIA, PHOSPHORUS, TRUE COLOR",2
"1701AVO0961","_17","CT","Avon Lake",3,0,0,1,0,0,5,0,0,0,6,0,2,0,35,3,"NITROGEN, NITRATE-NITRITE, TOTAL ORGANIC CARBON, TRUE COLOR",3
"1701DON0565A","_17","B","Donahues Pond",2,1,0,0,1,0,2,0,1,0,0,3,1,0,23,1,"NITROGEN, NITRATE-NITRITE",2
"1701FRE0753","_17","C","Fresh Pond (Hither Hills SP)",3,0,0,0,0,1,0,0,1,0,0,7,7,0,31,1,"NITROGEN, NITRATE-NITRITE",3
"1701GRE0885","_17","B","Great Patchogue Lake",3,1,0,0,1,0,0,1,1,0,4,0,6,0,34,3,"NITROGEN, NITRATE-NITRITE, TOTAL ORGANIC CARBON, TRUE COLOR",3
"1701LAU0496","_17","A(T)","Laurel Lake",3,0,0,1,0,0,9,0,2,0,0,14,7,0,69,2,"NITROGEN, NITRATE-NITRITE, TRUE COLOR",3
"1701LOW0855","_17","C(T)","Lower Lake",3,0,0,0,1,0,0,0,1,0,0,0,6,0,23,3,"NITROGEN, NITRATE-NITRITE, TOTAL ORGANIC CARBON, TRUE COLOR",3
"1701MAI0907","_17","CT","Main Pond",2,1,0,0,0,1,0,0,0,0,0,0,11,0,31,3,"NITROGEN, NITRATE-NITRITE, TOTAL ORGANIC CARBON, TRUE COLOR",2
"1701MAR0495","_17","A","Maratooka Lake",3,0,0,1,0,0,4,0,1,0,0,3,5,0,35,1,"NITROGEN, NITRATE-NITRITE",3
"1701PEC0555","_17","B","Peconic Lake",1,0,0,0,1,0,0,0,0,0,0,0,8,0,22,NA,NA,1
"1701PECXXX1","_17","","Peconic River",2,1,0,0,1,0,2,0,1,0,0,3,1,0,23,1,"NITROGEN, NITRATE-NITRITE",2
"1701REE0763","_17","B","Big Reed Pond",2,1,0,0,0,1,0,1,1,0,0,0,7,0,19,1,"NITROGEN, NITRATE-NITRITE",2
"1702ALLXXX1","_17","B","Allison Pond",3,0,0,0,0,1,0,2,1,0,2,0,0,0,17,2,"AMMONIA, PHOSPHORUS",2
"1702BRY1106","_17","AA","Bryam Lake Reservoir",0,1,2,1,0,0,0,0,0,2,12,0,16,0,70,2,"NITROGEN, NITRATE-NITRITE, TRUE COLOR",0
"1702CLO1074","_17","B","Clove Lake",3,0,0,0,0,1,0,0,1,0,3,0,3,0,26,2,"AMMONIA, PHOSPHORUS",2
"1702GLE1070","_17","C","Glenwood Lake",3,0,0,0,1,0,0,0,1,0,6,0,8,0,40,1,"NITROGEN, NITRATE-NITRITE",3
"1702IND5821","_17","B","Indian Pond",3,0,0,1,0,0,0,1,1,0,2,0,3,0,23,1,"NITROGEN, NITRATE-NITRITE",3
"1702KIS0076","_17","B","Kissena Lake",3,0,0,1,0,0,0,3,1,0,4,0,1,0,28,2,"AMMONIA, PHOSPHORUS",2
"1702OAK0107","_17","B","Oakland Lake",3,0,0,1,0,0,0,0,0,0,6,0,7,0,29,4,"AMMONIA, PHOSPHORUS, TOTAL ORGANIC CARBON, TRUE COLOR",2
"1702OHR1069B","_17","B","Ohrbach Lake",0,3,0,1,0,0,0,0,2,0,0,5,7,0,31,4,"AMMONIA, NITROGEN, NITRATE-NITRITE, PHOSPHORUS, TRUE COLOR",0
"1702PAI1082","_17","C","Paine Lake",3,0,0,0,0,1,0,0,1,0,5,0,5,0,31,1,"NITROGEN, NITRATE-NITRITE",3
"1702PEL1072","_17","B","Pelham Lake",3,0,0,0,1,0,0,0,1,0,5,0,5,0,31,1,"NITROGEN, NITRATE-NITRITE",3
"1702SHE1087","_17","A","Sheldrake Lake",3,0,0,1,0,0,0,4,1,0,8,0,4,0,45,1,"NITROGEN, NITRATE-NITRITE",3
"1702UWB0105","_17","B","Golden Pond",3,0,0,0,0,1,0,0,1,0,2,0,2,0,23,2,"AMMONIA, PHOSPHORUS",2
"1702UWB0340A","_17","C","Setauket Mill Pond",3,0,0,0,1,0,0,2,1,0,4,0,2,0,27,2,"NITROGEN, NITRATE-NITRITE, TOTAL ORGANIC CARBON",3
"1702UWB5331","_17","","Bowne Pond",3,0,0,0,0,1,0,2,1,0,0,2,0,0,22,2,"AMMONIA, PHOSPHORUS",2
"1702WIL1063A","_17","SD /*","Willowbrook Pond",3,0,0,0,0,1,0,0,1,0,2,0,2,0,17,2,"AMMONIA, PHOSPHORUS",2
NA,"_NA",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,0
