LakeNum,LakeName,County,Town,Area (ac),Area (ha),WshedArea (ac),WshedArea (ha),Wshed/Area,Zmax (ft),Zmax (m),Zmean (ft),"Zmean (m), orange=calc.",ZmeanCalc?,Residence,Years,Dlatitude,Dlongitude,Class,DamClass,Potable Water?,Swimming beach?,Fish impacts?,Invasive Plants?,Invasive Animals?,Distance to Nearby AIS (mi),Name of Nearest Infected Lake (fixed?),>1HAB Notification?,Multiple Years HAB Notification?,PotableWater PWL,Bathing  PWL,Recreation PWL,AquaticLife PWL,Aesthetics PWL,Habitat PWL,FishConsumption PWL,Date 1st HAB listing 18,Date Last HAB listing 18,#Wks HAB Notification 18,#Wks HAB Updates 18,#Wks HAB Updates 17,#Wks HAB Updates 16,#Wks HAB Updates 15,#Wks HAB Updates 14,#Wks HAB Updates 13,#Wks HAB Updates 12,Weed Management?,Lake Assn Name,Sampled >2011?,18 Samplers,CSLAP Region,Watershed,Exp Region,ExpRegion2,CSLAP,Sampled 2018?,Yrs Last 5,#Yrs>1HABsUpdates,Shore HABs PWS Score,Shore HABs Rec Score,Program,Zebras,Runoff (m),PWS-Days Closed,PWS-Treatments,PWS-MCL Violations,Beach-#Days Closures,Beach-Control measures,Algae Control Measures,Weed Control Measures,Plants,,
29,Babcock Lake,Rensselaer,Grafton,45,18,297,120,6.6,37.7,11.5,15.1,4.6,no,2.10,"1987-1995, 1997-2018",42.81680,-73.39950,A,B,yes,lake association beach,none reported,none reported,none reported,3.0,Long Pond,,no,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Babcock Lake Estates ,yes,"Jan Shields, Megan Myers",Central,Upper Hudson River,eastern Adk,mid Hudson,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
77,Ballston Lake,Saratoga,Ballston,278,112,6326,2560,22.8,116.0,35.4,22.3,6.8,no,0.80,1991-2018,42.92018,-73.85863,A,,yes,,none reported,Eurasian watermilfoil; water chestnut,zebra mussels,0,,"2013, 2014, 2017",yes,Stressed,Stressed,Impaired,Fully supported,Fair,Fair,Fully supported,21-Jul,22-Sep,6,3,3,0,0,2,4,0,,Ballston Lake Improvement Association,yes,"Peter Herman, David Pearse, Drew Hamelink, Gregory Adams",Central,Upper Hudson River,eastern Adk,Mohawk,CSLAP,no,,3,2,3,CSLAP,yes,,,,,,,,,,,
77,Ballston Lake-shallow site,Saratoga,Ballston,263,107,6326,2560,24.0,16.4,5.0,22.3,6.8,no,0.80,2001-2018,42.93834,-73.85786,A,,yes,,none reported,Eurasian watermilfoil; water chestnut,zebra mussels,0,,"2013, 2014, 2017",yes,Stressed,Stressed,Impaired,Fully supported,Fair,Fair,Fully supported,21-Jul,22-Sep,6,3,3,0,0,2,4,0,,Ballston Lake Improvement Association,yes,"Peter Herman, David Pearse, Drew Hamelink, Gregory Adams",Central,Upper Hudson River,eastern Adk,Mohawk,CSLAP,no,,3,2,3,CSLAP,yes,,,,,,,,,,,
,Balsam Pond,Chenango,McDonough,19,8,1352,547,70.1,9.8,3.0,,,no,,2013-2014,42.54905,-75.7614,,C,no,,,Variable watermilfoil,none reported,0,,,,,,,,,,,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Susquehanna River,,Central NY,LCI,no,2,0,0,0,LCI,no,,,,,,,,,,,
257,Barger Pond,Putnam,Putnam Valley,30,12,,,,13.4,4.1,,,,,2018,41.35949,-73.81272,B,,no,,none reported,,,,,"2017, 2018",yes,NA,Fully supported,Stressed,Fully supported,Fair,Fair,Fully supported,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Barrett Pond,Putnam,Kent,70,29,410,166,5.8,39.4,12.0,16.1,4.9,no,1.67,"2011-2015, 2017-2018",41.43395,-73.74063,B,A,no,,none reported,none reported,none reported,2.4,Lake Tibet,,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,China-Barrett Homeowners Association,yes,,Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
121,Bartlett Pond,Essex,Essex,70,29,2698,1092,38.3,19.7,6.0,9.3,2.8,no,0.19,1997-2000,44.10617,-73.51075,AA(T),A,yes,,none reported,Eurasian watermilfoil,none reported,0,,,no,Fully supported,Stressed,Impaired,Fully supported,Good,Poor,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,,,,Lake Champlain,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Basic Creek Reservoir,Albany,Westerlo,243,98,11189,4528,46.0,18.0,5.5,8.8,2.7,no,0.13,"2013, 2018",42.484822,-74.01627,A,C,yes,,,Eurasian watermilfoil; Curly leafed pondweed,Virile crayfish,0,,"2013, 2014",yes,Threatened,Impaired,Impaired,Fully Supported,Poor,Fair,Fully supported,21-Jul,22-Sep,15,5,5,1,0,2,2,0,,,yes,,,Lower Hudson River,,Mohawk,LCI,no,,2,2,1,LCI,no,,,,,,,,,,,
,Beacon Reservoir,Putnam,Phillipstown,20,8,,,,62.0,18.9,,,,,2017-2018,41.4903,-73.8839,,,,,,,,,,,no,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beales Pond,Delaware,Masonville,13,5,663,268,51.6,7.9,2.4,,3.6,no,,2014-2015,42.20018,-75.37921,C,,no,,,none reported,none reported,13.2,Deer Lake,,,NA,NA,Unassessed,Unassessed,Unknown,Unknown,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Delaware River,Mid Atlantic,Mid Hudson,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Bear Lake,Chautauqua,Stockton,109,44,6607,2674,60.8,22.6,6.9,14.8,4.5,no,,"2012, 2017",42.34754,-79.38336,A,D-Bear Creek,yes,,,Eurasian watermilfoil; Curly-leafed pondweed,; common carp,0,,,,Threatened ,Stressed,Impaired,Stressed,Fair,Fair,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Allegheny River,western NY,western ny,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
216,Beaver Dam Lake,Orange,"Blooming Grove, Cornwall, New Windsor",164,66,825,334,5.0,24.6,7.5,11.6,3.5,no,0.71,"2009-2012, 2014-2018",41.44200,-74.11590,B,C,no,lake association beach; Beaver Dam Lake Reserve #4,none reported,Eurasian watermilfoil; Curly leafed pondweed; water chestnut,none reported,0,,"2013, 2014, 2015, 2016, 2017",yes,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,30-Jun,27-Oct,11,6,6,6,5,7,6,0,yes,Beaver Dam Lake Protective and Rehabilitation District,yes,"Bart Raffaele, Fred Widman, Molly Widman, Larry and Kathleen Rossini",Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,no,,5,2,3,CSLAP,no,,,,,6.5,,,,,,
78,Beaver Lake,Broome,Windsor,38,16,336,136,8.8,18.0,5.5,7.5,2.3,no,0.59,"1991-1994, 2002-2010, 2012-2018",42.04550,-75.66570,C,B,no,,none reported,none reported,"banded mystery snail, virile crayfish",0,,"2012, 2013, 2014, 2015, 2017",yes,NA,NA,Stressed,Fully supported,Good,Good,Fully supported,30-Jun,25-Aug,7,3,3,0,5,6,9,5,,Broome County Beaver Lake Assn.,yes,Larry and Susan Paul,Central,Susquehanna River,Mid Atlantic,Central NY,CSLAP,no,5,5,2,3,CSLAP,no,,,,,,,,,,,
,Beaver Lake/Alma Pond,Allegany,Alma,32,13,1857,751,57.8,5.6,1.7,,2.6,no,,2012,42.01421,-78.00189,C,A,no,,,none reported,none reported,22.1,Cuba Lake,,,NA,NA,Impaired,Stressed,Fair,Good,Fully Supported,NA,NA,0,0,0,0,0,0,0,1,,,yes,,,Allegheny River,western NY,western ny,LCI,no,,1,1,0,LCI,no,,,,,,,,,,,
232,Bedford Lake,Westchester,Bedford,26,10,694,281,27.0,18.0,5.5,4.3,1.3,no,0.08,2012-2018,41.19480,-73.70370,B,B,no,,none reported,brittle naiad,none reported,0,,"2014, 2016, 2017",yes,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,16-Jun,29-Sep,6,2,2,5,1,2,1,1,herbicides,Bedford Lake Club,yes,Peter Chieco,Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,no,,3,2,3,CSLAP,no,,,,,,,,,,,
235,Big Bowman Lake,Rensselaer,Sand Lake,32,13,581,235,18.1,26.9,8.2,14.8,4.5,no,0.41,2013-2018,42.64830,-73.48800,B,A,no,,none reported,none reported,none reported,5.0,Burden Lake,2016,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,2,0,0,0,0,,Bowman Lake Association  ,yes,"Bruce Sowalski, John Walsh, Matt LeFleur, Valerie West, Scott Frost",Central,Lower Hudson River,east central,mid Hudson,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
,Binnewater Pond,Orange,Greenville,59,24,,,,12.1,3.7,,,,,2018,41.4097,-74.5513,,,,,,,,,,,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birdseye Hollow Lake,Steuben,Bradford,15,6,,,,8.9,2.7,,,,,2018,42.3712,-77.1504,,,,,,,,,,,no,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Black Lake,St. Lawrence,Hammond,8352,3380,356827,144400,42.7,16.1,4.9,8.2,2.5,no,0.13,1988-2018,44.53800,-75.56880,B,C,no,"McLear's Cottage Colony; Cedar Grove Camps; Indian Head Point
",none reported,Eurasian watermilfoil; Curly leafed pondweed,zebra mussels; common carp,0,,"2012, 2013, 2014, 2015, 2016, 2017",yes,NA,Impaired,Impaired,Unassessed,Fair,Unassessed,Unassessed,4-Aug,8-Sep,5,2,2,5,2,4,3,3,physical,Black Lake Association,yes,"Mike Powell, Richard Henderson",Adirondack,St. Lawrence River,western Adk,western Adk,CSLAP,no,,6,2,3,CSLAP,yes,,,,,3,,,,,,
217,Black Pond,Suffolk,Southhampton,3,1,124,50,45.5,3.3,1.0,1.5,0.5,no,0.04,"2009-2013, 2015",40.95134,-72.29626,C,,no,,none reported,none reported,none reported,1.8,Little Long Pond,,,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,,Downstate,Long Island Sound/Atlantic Ocean,NYC LI,NYC LI,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
106,Blind Sodus Bay,Wayne,Wolcott,244,99,629,255,2.6,23.0,7.0,10.8,3.3,no,3.35,"1993-1994, 1996-1997, 2016(L)",43.33781,-76.72788,B,*,no,,none reported,none reported,none reported,1.1,Little Sodus Bay,2016,no,NA,Impaired,Impaired,Fully supported,Fair,Fair,Stressed,NA,NA,7,0,0,3,0,1,0,0,,,yes,,Western,Lake Ontario,Ontario,Finger Lakes,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
202,Blue Heron Lake,Westchester,Pound Ridge,45,18,480,194,10.7,15.1,4.6,9.8,3.0,no,0.56,"2005-2006, 2008, 2014-2018",41.19160,-73.59220,B,B,no,,none reported,none reported,none reported,5.8,Bedford Lake,2014,no,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,2,0,0,,Blue Heron Landowners Association,yes,"Jonas and Sharon Weiner, David Hutchinson, Christopher London",Downstate,Lower Hudson River,Hudson Valley,lower Hudson,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
237,Boyd Lake,Jefferson,Alexandria,21,9,297,120,13.9,9.8,3.0,3.0,0.9,no,0.13,2014-2015,44.30931,-75.73952,B,A,no,,none reported,none reported,none reported,0.7,Lake of the Woods,"2014, 2015",yes,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,3,7,0,0,,,yes,,Adirondack,St. Lawrence River,western Adk,western Adk,CSLAP,no,,2,2,1,CSLAP,no,,,,,,,,,,,
46,Bradley Brook Reservoir,Madison,West Eaton,141,57,1638,663,11.6,28.9,8.8,13.8,4.2,no,0.91,"1988-2001, 2011-2014, 2016-2018",42.83400,-75.66220,B,B,no,Camp Lookout Madison County Children's Camp,none reported,Eurasian watermilfoil; Curly leafed pondweed,none reported,0,,,,NA,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,Hatch-Bradley Brook Lakes Association ,yes,James Kallmerten,Central,Susquehanna River,west central,Central NY,CSLAP,no,4,0,0,0,CSLAP,no,,,,,,,,,,,
125,Bradys Pond,Richmond,New York City,19,8,3131,1267,162.4,7.5,2.3,3.5,1.1,no,0.01,1997-2001,40.60399,-74.08022,B,,no,,none reported,none reported,none reported,6.8,Prospect Park Lake,,,NA,Impaired,Impaired,Fully supported,Poor,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,,,,Long Island Sound/Atlantic Ocean,NYC LI,NYC LI,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
28,Brant Lake,Warren,Brant Lake,1376,557,25452,10300,18.5,65.0,19.8,29.9,9.1,no,1.00,"1987-1991, 1999-2003, 2012(L)",43.71328,-73.70527,AAspec,C,yes,Mead's Cottages; Jimbo's Club at the Point; Mill Pond Beach; Pilgrim Camp; Point O'Pines Camp for Girls; Sunset Mountain Lodge,none reported,Eurasian watermilfoil; Curly leafed pondweed,none reported,0,,,,Threatened,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,physical,Brant Lake Association/Foundation,,,,Upper Hudson River,eastern Adk,eastern Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
175,Brantingham Lake,Lewis,Greig,327,132,1625,658,5.0,60.0,18.3,28.2,8.6,no,2.25,"2001-2010, 2012-2014, 2016-2018",43.69370,-75.27840,A,A,yes,,none reported,none reported,none reported,15.7,Effley Falls Lake,,,Threatened,Threatened,Fully supported,Fully supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,yes,Brantingham Community Association,yes,Karen and Chris Murphy,Adirondack,Black River,western Adk,western Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
,Brick Pond,Chemung,Elmira,6,3,698,282,108.6,23.3,7.1,,,no,,2012-2013,42.10699,-76.80271,C,,no,,,Eurasian watermilfoil,none reported,0,,,,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,,,Chemung River,Finger Lakes,Finger Lakes,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
,Brocton Reservoir,Chautauqua,Fredonia,19,8,1860,753,96.5,42.6,13.0,,,no,,2016,42.3700662,-79.4254821,A,C,yes,,,Eurasian watermilfoil; Curly-leafed pondweed,none reported,0,,,,Threatened,Fully supported,Fully supported,Fully Supported,Good,Good,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,yes,"June: David Kelley, Rebecca Gorney; July: David Kelley, DC; September: Scott Kishbaugh, RR",,Lake Erie/Niagara River,western NY,western ny,LCI,yes,,0,0,0,LCI,no,,,,,,,,,,,
,Browns Pond,Orange,New Windsor,243,98,1193,483,4.9,13.8,4.2,,,no,,2012-2013,41.47706,-74.0893,A,C,yes,,,Eurasian watermilfoil; Curly leafed pondweed,none reported,0,,2013,no,Fully supported,Fully supported,Fully supported,Fully supported,Good,Good,Fully supported,22-Sep,6-Oct,3,1,1,0,1,0,3,0,,,yes,,,Lower Hudson River,,lower Hudson,LCI,no,,1,1,0,LCI,no,,,,,,,,,,,
,Buck Pond,Monroe,Rochester,186,75,10975,4441,59.1,3.9,1.2,,,no,,"2016, 2017",43.281267,-77.6665592,B,,no,,,Eurasian watermilfoil; Curly leafed pondweed,none reported,0,,,,NA,Impaired,Impaired,Fully supported,Poor,Fair,Stressed,NA,NA,0,0,0,0,0,0,0,0,,,yes,"June: David Kelley, David Neuman; July: David Kelley, BL; August: David Kelley, BL",,Lake Ontario,Ontario,Finger Lakes,LCI,no,,0,0,0,LCI,no,,,,,,,,,,,
231,Buckingham Lake,Albany,Albany,6,2,158,64,26.7,4.9,1.5,3.0,0.9,no,0.06,"2011-2014, 2018",42.66355,-73.80714,C,,no,,none reported,water chestnut,none reported,0,,"2012, 2013",yes,NA,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,1,4,2,,Buckingham Pond Conservancy,yes,*,Central,Lower Hudson River,east central,Mohawk,CSLAP,no,,2,2,1,CSLAP,no,,,,,,,,,,,
,Bug Lake,Hamilton,Inlet,88,36,,,,82.0,25.0,,,,,2018,43.7684,-74.7294,,,yes,,none reported,,,,,,,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bullhead Lake,Oneida,Ava,13,5,76,31,5.9,,,,,yes,,"2016, 2017",43.39592522,-75.53744138,B(T),,no,Camp Kingsley,,none reported,none reported,8,Delta Reservoir,,,NA,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,Unassessed,NA,NA,0,0,0,0,0,0,0,0,,,yes,"July: David Kelley, DH",,Seneca/Oneida/Oswego Rivers,,Central NY,LCI,no,0,0,0,0,LCI,no,,,,,,,,,,,
122,Burden Lake,Rensselaer,Sand Lake,366,148,2792,1130,7.6,36.0,11.0,9.8,3.0,no,0.80,"1997-1999, 2003-2011, 2013-2018",42.59470,-73.56140,B,B,no,Camp Adventure,none reported,Eurasian watermilfoil; Curly leafed pondweed; water chestnut,virile crayfish,0,,2013,no,NA,Fully supported,Stressed,Fully supported,Good,Fair,Fully supported,NA,NA,0,0,0,0,0,0,2,0,herbicides,Burden Lake Improvement Association ,yes,"Kevin Tighe, Anthony Ilacqua, Wendy Will, Dennis Ryan",Central,Lower Hudson River,east central,mid Hudson,CSLAP,no,,1,1,0,CSLAP,no,,,,,,,,,,,
12,Butterfield Lake,Jefferson,Redwood,1005,407,4250,1720,4.2,47.6,14.5,14.4,4.4,no,2.28,"1986-2010, 2012-2018",44.31650,-75.77520,B,,no,,none reported,Eurasian watermilfoil,none reported,0,,"2013, 2014",yes,NA,Stressed,Stressed,Fully supported,Fair,Poor,Fully supported,29-Sep,13-Oct,3,1,1,0,0,2,8,0,,Butterfield Lake Cottage Owners' Association,yes,"Walter Dutcher, Joseph Pasquini",Adirondack,St. Lawrence River,western Adk,western Adk,CSLAP,no,,2,2,1,CSLAP,no,,,,,,,,,,,
62,Canaan Lake,Suffolk,Brookhaven,26,10,7999,3237,311.3,6.9,2.1,3.0,0.9,no,0.01,"1990-1995, 2000-2001, 2003-2005",40.78810,-73.02117,B(T),B(T),no,,none reported,fanwort; variable watermilfoil,none reported,0,,,,NA,Stressed,Stressed,Fully supported,Fair,Fair,Fully supported,NA,NA,0,0,0,0,0,0,0,0,,,,,,Long Island Sound/Atlantic Ocean,NYC LI,NYC LI,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
176,Canada Lake,Fulton,Caroga,128,52,26828,10857,209.6,91.9,28.0,69.9,21.3,no,0.10,"2001-2010, 2012-2018",43.16540,-74.52930,B,B,no,Lakeside Motel,none reported,brittle naiad,none reported,0,,,,NA,Fully supported,Fully supported,Fully supported,Good,Poor,Impaired,NA,NA,0,0,0,0,0,0,0,0,,Canada Lake Conservation Association,yes,"John Byrnes, Merryn Byrnes",Adirondack,Mohawk River,eastern Adk,western Adk,CSLAP,no,,0,0,0,CSLAP,no,,,,,,,,,,,
57,Canadarago Lake,Otsego,Richfield Springs,1894,767,43244,17500,22.8,44.0,13.4,33.1,10.1,no,0.90,"1989-1993,2017-2018",42.81579,-75.00645,AA(T),A,yes,Baker's Beach,none reported,Eurasian watermilfoil; Curly leafed pondweed; starry stonewort,zebra mussels; rusty crayfish; common carp,0,,2015,no,Fully supported,Fully supported,Threatened,Fully supported,Good,Fair,Fully supported,NA,NA,0,0,0,1,2,0,0,0,,Canadarago Lake Improvement Association,,,,Susquehanna River,,Central NY,CSLAP,no,,1,1,0,CSLAP,yes,,,,,,,,,,,
252,Canadice Lake,Ontario,Canadice,669,271,7936,3212,11.9,83.3,25.4,53.8,16.4,no,,2017-2018,42.71797595,-77.56905632,AA(TS),C,yes,,,"Eurasian Watermilfoil, Brittle Naiad, Curly Leafed Pondweed",,0,,,,Fully supported,Fully supported,Fully supported,Fully supported,Unassessed,Unassessed,Impaired,NA,NA,0,0,0,0,0,0,0,0,,City of Rochester,,,,,,,CSLAP,,,,,,CSLAP,no,,,,,,,,,,,
