OBJECTID_1,GNIS_ID,GNIS_Name,ReachCode,FType,FCode,SepticLoad,Developed,Agricultur,Forest,TotalLoad,wsAcres,LakeAcres,LkAreaLoad,PtSource,BasinName,BasNumber,Shape_Leng,NHDshort,Resolution,LakeID,FIN,County,Type,Water,Alt_Name,Beach,M_BAS_NAME,BASIN_NAME,LocationID,PWS,Class,PWL_ID,LocName,Lat,Long,AnthroLoad,YearSample,OBJECTID_12,PWL_ID_1,WIN,NAME,DESCRIPT,BASIN,WBTYPE,LGTH_AREA,WSUP_USEASMT,WSUP_DCMT,SHEL_USEASMT,SHEL_DCMT,BATH_USEASMT,BATH_DCMT,RECR_USEASMT,RECR_DCMT,CONS_USEASMT,CONS_DCMT,AQAT_USEASMT,AQAT_DCMT,HABH_USEASMT,AEST_USEASMT,WBCATGRY,MGMTSTAT,UPDATE_YR,FACT_SHEET
11,957757,Moss Lake,4.13E+12,390,39009,1.470149,3.142511,45.652031,5.426426,55.691116,185.311,17.2922,3.220591712,0,Genesee River Basin,4,0.02106273,2001477,2,0403MOS0144,ONT-117-P144,Allegany,Lake,Moss Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403MOS0144_C,No,C,0403-0052,Moss Lake Centroid,42.3987007,-78.185997,2.906783984,2010,126,0403-0052,Ont 117-132-P144,Moss Lake/Lily Pond,entire lake,Genesee River,L,15.2,N/A,-,N/A,-,N/A,-,Impaired,Unconfirmed,Impaired,Unconfirmed,Impaired,Unconfirmed,Poor,Unknown,Needs Verification,UnAssessed,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0052.pdf
12,955134,LeRoy Reservoir,4.13E+12,390,39009,4.410446,10.64437,752.616347,10.296865,777.968029,856.679,46.5796,16.7019,0,Genesee River Basin,4,0.02340043,3001259,2,0402LE 0024A,ONT-117-25-7-4-P24A,Genesee,Lake,Le Roy Reservoir, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402LE 0024A_C,No,A,0402-0003,Le Roy Reservoir Centroid,42.8908997,-77.9753036,16.4808,2010,61,0402-0003,Ont 117- 25- 7-4-P24a,LeRoy Reservoir,entire lake,Genesee River,L,46.6,Impaired,Known,N/A,-,Impaired,Suspected,Impaired,Known,UnAssessed,-,Stressed,Suspected,Poor,Poor,Impaired,Strategy Implementation Scheduled or Underway,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0003.pdf
13,955911,Long Pond,4.13E+12,390,39009,0,0.082698,13.610543,1.62348,15.316721,59.7152,13.3328,1.148800027,0,Genesee River Basin,4,0.012013398,3001255,2,0402LON0040,ONT-117-27-23-P40,Livingston,Lake,Long Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402LON0040_DH,No,C,0402-0073,LONG POND DEEP HOLE,42.8894997,-77.5633011,1.027034156, ,157,0402-0073,"Ont 117- 27-23-P39,P40","Round, Long Ponds",total area of both lakes,Genesee River,L,20.2,N/A,-,N/A,-,N/A,-,Stressed,Known,Fully Supported,Unconfirmed,Threatened,Suspected,Fair,Fair,Minor Impacts,Restoration/Protection Strategy Needed,10/28/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0073.pdf
14,947265,Conesus Lake,4.13E+12,390,39009,589.529562,1275.629153,12741.24222,2081.412365,16687.8133,45056,3207.56,5.202650394,0,Genesee River Basin,4,0.286934377,3001262,2,0402CON0067,ONT-117-40-P67,Livingston,Lake,Conesus Lake, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402CON0067_C,Yes,AA,0402-0004,Conesus Lake Centroid,42.7522011,-77.7186966,4.553742076,2017,62,0402-0004,Ont 117- 40-P67,Conesus Lake,entire lake,Genesee River,L,3207.6,Stressed,Suspected,N/A,-,Impaired,Known,Impaired,Known,Fully Supported,Unconfirmed,Stressed,Suspected,Fair,Poor,Impaired,Funding for Strategy Implementation Needed,7/30/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0004.pdf
15,948640,Dream Lake,4.13E+12,390,39009,1.470149,0,78.577537,26.620622,106.668307,380.573,35.7877,2.980585704,0,Genesee River Basin,4,0.029258971,2001427,2,0403DRE0138C,ONT-117-104-17-P138C,Wyoming,Lake,Dream Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403DRE0138C_C,No,C,0403-0050,Dream Lake Centroid,42.5597992,-78.2953033,2.236737343, ,158,0403-0050,"Ont 117-104-P138c,P138d","Dream Lake, Lake Willene",total area of both lakes,Genesee River,L,16.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,6/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0050.pdf
16,952160,Hanging Bog,4.13E+12,390,39009,0,1.376325,0,11.141964,12.51829,136.998,34.0008,0.368176337,0,Genesee River Basin,4,0.038211567,2001493,2,0403HAN0150A,ONT-117-140-P150A,Allegany,Lake,Hanging Bog, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403HAN0150A_C,No,C,0403-0076,Hanging Bog Centroid,42.3053017,-78.2485962,0.040479224,2010,86,0403-0076,Ont 117-140-P150a,Hanging Bog Pond,entire lake,Genesee River,L,28.7,N/A,-,N/A,-,N/A,-,Impaired,Unconfirmed,Fully Supported,Unconfirmed,Stressed,Unconfirmed,Poor,Poor,Needs Verification,No Action Needed,10/8/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0076.pdf
17,953983,Jenkins Pond,4.13E+12,390,39009,0,1.624418,65.050391,1.111973,67.786782,74.5977,10.6309,6.376391651,0,Genesee River Basin,4,0.008925049,3001272,2,0402JEN0025D,ONT-117-25-43-P25D,Wyoming,Lake,Jenkins Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402JEN0025D_C,No,C,0402-0056,Jenkins Pond Centroid,42.7969017,-78.1359024,6.271793451, ,154,0402-0056,Ont 117- 25-43-P25d,Jenkins Pond,entire lake,Genesee River,L,10.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,UnAssessed,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0056.pdf
18,970597,Shackleton Pond,4.13E+12,390,39009,1.470149,10.413998,60.858255,2.44634,75.188741,131.362,14.3811,5.228302494,0,Genesee River Basin,4,0.011553832,3001249,2,0402SHA0040D,ONT-117-P40D,Ontario,Lake,Shackleton Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402SHA0040D_C,No,C,0402-0074,Shackleton Pond Centroid,42.903801,-77.4936981,5.058194505, ,138,0402-0074,Ont 117- 27-28-6-P40d,Shackleton Pond,entire lake,Genesee River,L,12.3,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,7/30/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0074.pdf
19,955130,Lake Le Roy,4.13E+12,390,39009,8.820891,18.217113,945.849368,16.257038,989.144411,1137.94,63.5338,15.5688,0,Genesee River Basin,4,0.032313048,3003392,2,0402LER0073B,ONT-117-60-2-P73B,Wyoming,Lake,Lake LeRoy, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402LER0073B_C,Yes,A,0402-0008,Lake LeRoy Centroid,42.7935982,-78.0005035,15.3129, ,63,0402-0008,Ont 117- 60-2-P73b,Lake LaGrange,entire lake,Genesee River,L,53.1,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,Reassessment Needed,9/25/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0008.pdf
20,962992,Round Pond,4.13E+12,390,39009,1.470149,1.789814,50.439073,10.319105,64.01814,228.34,10.8304,5.910967277,0,Genesee River Basin,4,0.008334805,3001257,2,0402ROU0039,ONT-117-27-23-P39,Livingston,Lake,Round Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402ROU0039_C,No,C,0402-0073,Round Pond Centroid,42.8844986,-77.5613022,4.958176522, ,157,0402-0073,"Ont 117- 27-23-P39,P40","Round, Long Ponds",total area of both lakes,Genesee River,L,20.2,N/A,-,N/A,-,N/A,-,Stressed,Known,Fully Supported,Unconfirmed,Threatened,Suspected,Fair,Fair,Minor Impacts,Restoration/Protection Strategy Needed,10/28/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0073.pdf
21,966075,Spring Lake,4.13E+12,390,39009,1.470149,0.880139,43.761678,10.252386,56.364352,233.483,27.6789,2.036365318,0,Genesee River Basin,4,0.014349408,2001453,2,0403SPR0142,ONT-117-118-6A-P142,Allegany,Lake,Spring Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403SPR0142_C,No,C,0403-0051,Spring Lake Centroid,42.4944992,-78.177803,1.665960931,2009,124,0403-0051,Ont 117-118- 7-P142,Spring Lake,entire lake,Genesee River,L,25.8,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0051.pdf
22,951276,Godfrey Pond,4.13E+12,390,39009,73.507427,819.598804,1740.709551,84.198558,2718.014339,4292.34,26.8963,101.055,0,Genesee River Basin,4,0.02107101,3001236,2,0402GOD0017,ONT-117-19-30-P17,Genesee,Lake,Godfrey Pond, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402GOD0017_C,No,B,0402-0051,Godfrey Pond Centroid,43.027401,-78.1121979,97.9248, ,17,0402-0051,Ont 117- 19-30-P 17,Godfrey Pond,entire lake,Genesee River,L,23.8,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,UnAssessed,10/28/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0051.pdf
23,963103,Rush Reservoir,4.13E+12,390,39009,0,0,0.283553,0.40031,0.683863,5.01255448,13.8067,0.049531242,0,Genesee River Basin,4,0.012667338,3002961,2,0402RUS0033,ONT-117-P33,Monroe,Lake,Rush Reservoir, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402RUS0033_C,No,C,0402-0072,Rush Reservoir Centroid,43.0163994,-77.6434021,0.020537348, ,156,0402-0072,Ont 117- 27- 7-P33,Rush Reservoir,entire lake,Genesee River,L,12.9,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,8/13/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0072.pdf
24,945732,Canadice Lake,4.13E+12,390,39009,111.731289,89.957335,396.723989,639.6733,1238.085913,8041.88,722.778,1.712954618,0,Genesee River Basin,4,0.122557023,3001277,2,0402CAN0043,ONT-117-27-34-11-P43,Ontario,Lake,Canadice Lake, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402CAN0043_C,Yes,AATS,0402-0002,Canadice Lake Centroid,42.718399,-77.5688019,0.827934183,2017,60,0402-0002,Ont 117- 27-34-11-P43,Canadice Lake,entire lake,Genesee River,L,668.7,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,-,UnAssessed,UnAssessed,Impaired,Strategy Implementation Scheduled or Underway,10/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0002.pdf
25,971289,Lake Willene,4.13E+12,390,39009,0,0,3.758467,0.378071,4.136538,6.857515649,11.8678,0.348551374,0,Genesee River Basin,4,0.010788438,2001430,2,0403WIL0138D,ONT-117-104-17-P138D,Wyoming,Lake,Lake Willene, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403WIL0138D_C,No,C,0403-0050,Lake Willene Centroid,42.5573006,-78.3069992,0.316694501, ,158,0403-0050,"Ont 117-104-P138c,P138d","Dream Lake, Lake Willene",total area of both lakes,Genesee River,L,16.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,6/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0050.pdf
26, , ,4.13E+12,390,39009,39.69401,45.867667,1434.933793,256.732211,1777.227681,4135.54,8.977752822,197.959,0,Genesee River Basin,4,0.00847128,2001367,2,0403WET0133,ONT-117-104-3-P133,Wyoming,Lake,Wethersfield Pond, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403WET0133_C,No,A,0403-0049,Wethersfield Pond Centroid,42.6853981,-78.202301,169.363, ,110,0403-0049,Ont 117-104- 3-P133,Wethersfields Springs Pond,entire lake,Genesee River,L,10,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,6/9/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0049.pdf
27,953241,Horseshoe Lake,4.13E+12,390,39009,45.574605,531.025314,626.707701,39.497263,1242.804882,1992.92,28.6282,43.4119,0,Genesee River Basin,4,0.028001024,3001242,2,0402HOR0018,ONT-117-19-30-P18,Genesee,Lake,Horseshoe Lake, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402HOR0018_DH,No,B,0402-0052,HORSEHOE LAKE DEEP HOLE,43.0056,-78.1203995,42.0322,2009,72,0402-0052,Ont 117- 19-30-P 18,Horseshoe Lake,entire lake,Genesee River,L,24.8,N/A,-,N/A,-,Fully Supported,Unconfirmed,Fully Supported,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,No Known Impact,No Action Needed,10/7/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0052.pdf
28,964506,Saunders Pond,4.13E+12,390,39009,2.940297,0.868325,9.546284,22.194971,35.549878,249.014,12.1088,2.935871267,0,Genesee River Basin,4,0.017287017,2001504,2,0403SAU0159B,ONT-117-169-3-P159B,Allegany,Lake,Saunders Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403SAU0159B_C,No,C,0403-0054,Saunders Lake Centroid,42.2276993,-77.9860001,1.102909207, ,82,0403-0054,"Ont 117-169-P159a,P159b","Amity Lake, Saunders Pond",total area of both lakes,Genesee River,L,33,N/A,-,N/A,-,N/A,-,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,Impaired,Verification of Source Needed,10/28/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0054.pdf
29,946170,Cement Plant Pond,4.13E+12,390,39009,2.940297,2.48093,29.389433,16.679588,51.490248,213.047,20.6401,2.494670472,0,Genesee River Basin,4,0.01888974,3001293,2,0402CEM0059,ONT-117-P59,Livingston,Lake,Cement Plant Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402CEM0059_C,No,C,0402-0080,Cement Plant Pond Centroid,42.9784012,-77.822197,1.686554813, ,106,0402-0080,Ont 117- 28-P59,Cement Plant Pond,entire lake,Genesee River,L,19.9,N/A,-,,,,,,,,,,,Unknown,Unknown,UnAssessed,UnAssessed,10/28/2015 0:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0080.pdf
30,970657,Sterling Pond,4.13E+12,390,39009,0,0,0.189035,0,0.189035,0.074166035,24.5651,0.007695267,0,Genesee River Basin,4,0.014270078,3001254,2,0402STE0267,ONT-66-12-52-23-52-P267,Ontario,Lake,Sterling Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402STE0267_C,No,C,0704-0040,Sterling Pond Centroid,42.8806992,-77.4381027,0.007695267, ,356,0704-0040,Ont  66-12-52-23-52-P267,Sterling Pond,entire pond,Oswego-Seneca-Oneida,L,24.3,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/0704-0040.pdf
31,960168,Pepacton Reservoir,2.0401E+12,390,39012,2581.58,2546.69812,10692.29389,20622.84214,42443.3,237447,5722.33,7.417142331,5999.92,Delaware River Basin,14,1.105245571,2000461,2,1403PEP0358A,D-70-P358A,Delaware,Lake,Pepacton Reservoir, ,No,Delaware River Basin,East Branch Delaware River,1403PEP0358A_C,No,AT,1403-0002,Pepacton Reservoir Centroid,42.0806999,-74.9131012,3.813212076, ,2072,1403-0002,D-70 (portion 3)/P358a,Pepacton Reservoir,entire reservoir,Delaware River,L,5185,Threatened,Unconfirmed,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,-,UnAssessed,UnAssessed,Impaired,Verification of Sources Needed,11/7/2002 0:00,https://www.dec.ny.gov/data/WQP/PWL/1403-0002.pdf
32,947896,Crystal Lake,2.0401E+12,390,39011,0,5.446232,0,64.561123,70.0074,692.659,34.5801,2.024498339,0,Delaware River Basin,14,0.018572175,1001295,2,1404CRY0380,D-71-4-P378-2-P380,Delaware,Lake,Crystal Lake, ,No,Delaware River Basin,West Branch Delaware River,1404CRY0380_C,No,B,1404-0030,Crystal Lake Centroid,42.0517006,-75.3610992,0.157497433, ,1211,1404-0030,D-71- 4-P378-2-P380,Crystal Lake,entire lake,Delaware River,L,33.2,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1404-0030.pdf
33,950302,Lake Florence,2.0401E+12,390,39009,2.940297,1.565349,2.268424,8.829062,15.6031,128.533,33.5284,0.465370581,0,Delaware River Basin,14,0.014515841,2000527,2,1403FLO0294,D-70-20-25-1-P294,Sullivan,Lake,Lake Florence, ,No,Delaware River Basin,East Branch Delaware River,1403FLO0294_C,No,AAT,1403-0060,Lake Florence Centroid,41.8933983,-74.953598,0.202038809, ,1135,1403-0060,D-70-20-25- 1-P294,Lake Florence/Round Lake,entire lake,Delaware River,L,31.5,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1403-0060.pdf
34,956311,Mallory Pond,2.0401E+12,390,39009,0,0.330791,0,6.093609,6.4244,95.6147,36.7301,0.174908318,0,Delaware River Basin,14,0.034193029,4002172,2,1401MAL0105,D-10-15-P103-1-P104-1-P105,Sullivan,Lake,Mallory Pond, ,No,Delaware River Basin,Delaware River Main Stem,1401MAL0105_C,No,B,1401-0052,Mallory Pond Centroid,41.662899,-74.9037018,0.009005992, ,1400,1401-0052,D-10-15-P103-1-P104-1-P105,Mallory Pond,entire lake,Delaware River,L,34.9,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,,,https://www.dec.ny.gov/data/WQP/PWL/1401-0052.pdf
