OBJECTID_1,FDate,GNIS_ID,GNIS_Name,ReachCode,FType,FCode,SepticLoad,Developed,Agricultur,Forest,TotalLoad,wsAcres,LakeAcres,LkAreaLoad,PtSource,BasinName,BasNumber,Shape_Leng,NHDshort,Resolution,LakeID,FIN,County,Type,Water,Alt_Name,Beach,M_BAS_NAME,BASIN_NAME,LocationID,PWS,Class,PWL_ID,LocName,Lat,Long,AnthroLoad,YearSample,OBJECTID_12,PWL_ID_1,WIN,NAME,DESCRIPT,BASIN,WBTYPE,LGTH_AREA,WSUP_USEASMT,WSUP_DCMT,SHEL_USEASMT,SHEL_DCMT,BATH_USEASMT,BATH_DCMT,RECR_USEASMT,RECR_DCMT,CONS_USEASMT,CONS_DCMT,AQAT_USEASMT,AQAT_DCMT,HABH_USEASMT,AEST_USEASMT,WBCATGRY,MGMTSTAT,UPDATE_YR,FACT_SHEET,SHAPE_AREA_1,Shape_Length,Shape_Area
11,11/5/2009 0:00:00,00957757,Moss Lake,04130002001477,390,39009,1.470149000000000,3.142511000000000,45.652031000000001,5.426426000000000,55.691116000000001,185.311000000000010,17.292200000000001,3.220591711870000,0.000000000000000,Genesee River Basin,04,0.021062730392000,02001477,2,0403MOS0144,ONT-117-P144,Allegany,Lake,Moss Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403MOS0144_C,No,C,0403-0052,Moss Lake Centroid,42.3987007,-78.1859970,2.906783983530000,2010,126,0403-0052,Ont 117-132-P144,Moss Lake/Lily Pond,entire lake,Genesee River,L,15.2,N/A,-,N/A,-,N/A,-,Impaired,Unconfirmed,Impaired,Unconfirmed,Impaired,Unconfirmed,Poor,Unknown,Needs Verification,UnAssessed,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0052.pdf,61681.387064437702000,0.021062730391960,0.000007644949341
12,6/3/2002 0:00:00,00955134,LeRoy Reservoir,04130003001259,390,39009,4.410446000000000,10.644370000000000,752.616347000000020,10.296865000000000,777.968029000000000,856.678999999999970,46.579599999999999,16.701899999999998,0.000000000000000,Genesee River Basin,04,0.023400429524100,03001259,2,0402LE 0024A,ONT-117-25-7-4-P24A,Genesee,Lake,Le Roy Reservoir, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402LE 0024A_C,No,A,0402-0003,Le Roy Reservoir Centroid,42.8908997,-77.9753036,16.480799999999999,2010,61,0402-0003,Ont 117- 25- 7-4-P24a,LeRoy Reservoir,entire lake,Genesee River,L,46.6,Impaired,Known,N/A,-,Impaired,Suspected,Impaired,Known,UnAssessed,-,Stressed,Suspected,Poor,Poor,Impaired,Strategy Implementation Scheduled or Underway,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0003.pdf,188500.541147849990000,0.023400429524128,0.000020759171735
13,10/3/2007 0:00:00,00955911,Long Pond,04130003001255,390,39009,0.000000000000000,0.082698000000000,13.610543000000000,1.623480000000000,15.316720999999999,59.715200000000003,13.332800000000001,1.148800027000000,0.000000000000000,Genesee River Basin,04,0.012013398242400,03001255,2,0402LON0040,ONT-117-27-23-P40,Livingston,Lake,Long Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402LON0040_DH,No,C,0402-0073,LONG POND DEEP HOLE,42.8894997,-77.5633011,1.027034156370000, ,157,0402-0073,"Ont 117- 27-23-P39,P40","Round, Long Ponds",total area of both lakes,Genesee River,L,20.2,N/A,-,N/A,-,N/A,-,Stressed,Known,Fully Supported,Unconfirmed,Threatened,Suspected,Fair,Fair,Minor Impacts,Restoration/Protection Strategy Needed,10/28/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0073.pdf,81636.735049062394000,0.012013398242435,0.000005944092008
14,6/3/2002 0:00:00,00947265,Conesus Lake,04130003001262,390,39009,589.529562000000060,1275.629153000000100,12741.242219000000000,2081.412365000000100,16687.813298000001000,45056.000000000000000,3207.559999999999900,5.202650394070000,0.000000000000000,Genesee River Basin,04,0.286934376609000,03001262,2,0402CON0067,ONT-117-40-P67,Livingston,Lake,Conesus Lake, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402CON0067_C,Yes,AA,0402-0004,Conesus Lake Centroid,42.7522011,-77.7186966,4.553742075910000,2017,62,0402-0004,Ont 117- 40-P67,Conesus Lake,entire lake,Genesee River,L,3207.6,Stressed,Suspected,N/A,-,Impaired,Known,Impaired,Known,Fully Supported,Unconfirmed,Stressed,Suspected,Fair,Poor,Impaired,Funding for Strategy Implementation Needed,7/30/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0004.pdf,12980550.717874801000000,0.286934376608797,0.001427301732404
15,1/10/2013 0:00:00,00948640,Dream Lake,04130002001427,390,39009,1.470149000000000,0.000000000000000,78.577537000000007,26.620622000000001,106.668307000000000,380.572999999999980,35.787700000000001,2.980585704030000,0.000000000000000,Genesee River Basin,04,0.029258971385000,02001427,2,0403DRE0138C,ONT-117-104-17-P138C,Wyoming,Lake,Dream Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403DRE0138C_C,No,C,0403-0050,Dream Lake Centroid,42.5597992,-78.2953033,2.236737342720000, ,158,0403-0050,"Ont 117-104-P138c,P138d","Dream Lake, Lake Willene",total area of both lakes,Genesee River,L,16.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,6/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0050.pdf,67022.805667462904000,0.029258971384964,0.000015860451259
16,11/5/2009 0:00:00,00952160,Hanging Bog,04130002001493,390,39009,0.000000000000000,1.376325000000000,0.000000000000000,11.141964000000000,12.518290000000000,136.997999999999990,34.000799999999998,0.368176337030000,0.000000000000000,Genesee River Basin,04,0.038211567248300,02001493,2,0403HAN0150A,ONT-117-140-P150A,Allegany,Lake,Hanging Bog, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403HAN0150A_C,No,C,0403-0076,Hanging Bog Centroid,42.3053017,-78.2485962,0.040479224020000,2010,86,0403-0076,Ont 117-140-P150a,Hanging Bog Pond,entire lake,Genesee River,L,28.7,N/A,-,N/A,-,N/A,-,Impaired,Unconfirmed,Fully Supported,Unconfirmed,Stressed,Unconfirmed,Poor,Poor,Needs Verification,No Action Needed,10/8/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0076.pdf,116011.052594015000000,0.038211567248334,0.000015009222383
17,6/3/2002 0:00:00,00953983,Jenkins Pond,04130003001272,390,39009,0.000000000000000,1.624418000000000,65.050391000000005,1.111973000000000,67.786782000000002,74.597700000000003,10.630900000000000,6.376391650750000,0.000000000000000,Genesee River Basin,04,0.008925049115820,03001272,2,0402JEN0025D,ONT-117-25-43-P25D,Wyoming,Lake,Jenkins Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402JEN0025D_C,No,C,0402-0056,Jenkins Pond Centroid,42.7969017,-78.1359024,6.271793451170000, ,154,0402-0056,Ont 117- 25-43-P25d,Jenkins Pond,entire lake,Genesee River,L,10.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,UnAssessed,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0056.pdf,43021.609679423302000,0.008925049115819,0.000004729975699
18,10/3/2007 0:00:00,00970597,Shackleton Pond,04130003001249,390,39009,1.470149000000000,10.413997999999999,60.858255000000000,2.446340000000000,75.188740999999993,131.361999999999990,14.381100000000000,5.228302494250000,0.000000000000000,Genesee River Basin,04,0.011553831935300,03001249,2,0402SHA0040D,ONT-117-P40D,Ontario,Lake,Shackleton Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402SHA0040D_C,No,C,0402-0074,Shackleton Pond Centroid,42.9038010,-77.4936981,5.058194505290000, ,138,0402-0074,Ont 117- 27-28-6-P40d,Shackleton Pond,entire lake,Genesee River,L,12.3,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,7/30/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0074.pdf,49840.434815737302000,0.011553831935261,0.000006413309414
19,1/10/2013 0:00:00,00955130,Lake Le Roy,04130003003392,390,39009,8.820891000000000,18.217113000000001,945.849368000000030,16.257038000000001,989.144410999999990,1137.940000000000100,63.533799999999999,15.568800000000000,0.000000000000000,Genesee River Basin,04,0.032313047588400,03003392,2,0402LER0073B,ONT-117-60-2-P73B,Wyoming,Lake,Lake LeRoy, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402LER0073B_C,Yes,A,0402-0008,Lake LeRoy Centroid,42.7935982,-78.0005035,15.312900000000001, ,63,0402-0008,Ont 117- 60-2-P73b,Lake LaGrange,entire lake,Genesee River,L,53.1,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,Reassessment Needed,9/25/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0008.pdf,214686.109305541990000,0.032313047588364,0.000028270624972
20,10/3/2007 0:00:00,00962992,Round Pond,04130003001257,390,39009,1.470149000000000,1.789814000000000,50.439073000000000,10.319105000000000,64.018140000000002,228.340000000000000,10.830399999999999,5.910967277290000,0.000000000000000,Genesee River Basin,04,0.008334804660300,03001257,2,0402ROU0039,ONT-117-27-23-P39,Livingston,Lake,Round Pond, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402ROU0039_C,No,C,0402-0073,Round Pond Centroid,42.8844986,-77.5613022,4.958176521640000, ,157,0402-0073,"Ont 117- 27-23-P39,P40","Round, Long Ponds",total area of both lakes,Genesee River,L,20.2,N/A,-,N/A,-,N/A,-,Stressed,Known,Fully Supported,Unconfirmed,Threatened,Suspected,Fair,Fair,Minor Impacts,Restoration/Protection Strategy Needed,10/28/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0073.pdf,81636.735049062394000,0.008334804660296,0.000004828144399
21,11/5/2009 0:00:00,00966075,Spring Lake,04130002001453,390,39009,1.470149000000000,0.880139000000000,43.761678000000003,10.252386000000000,56.364351999999997,233.483000000000000,27.678899999999999,2.036365317990000,0.000000000000000,Genesee River Basin,04,0.014349408263200,02001453,2,0403SPR0142,ONT-117-118-6A-P142,Allegany,Lake,Spring Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403SPR0142_C,No,C,0403-0051,Spring Lake Centroid,42.4944992,-78.1778030,1.665960930530000,2009,124,0403-0051,Ont 117-118- 7-P142,Spring Lake,entire lake,Genesee River,L,25.8,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0051.pdf,104359.876638763000000,0.014349408263155,0.000012255583115
22,10/3/2007 0:00:00,00951276,Godfrey Pond,04130003001236,390,39009,73.507427000000007,819.598803999999970,1740.709550999999900,84.198558000000006,2718.014338999999800,4292.340000000000100,26.896300000000000,101.055000000000010,0.000000000000000,Genesee River Basin,04,0.021071010107100,03001236,2,0402GOD0017,ONT-117-19-30-P17,Genesee,Lake,Godfrey Pond, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402GOD0017_C,No,B,0402-0051,Godfrey Pond Centroid,43.0274010,-78.1121979,97.924800000000005, ,17,0402-0051,Ont 117- 19-30-P 17,Godfrey Pond,entire lake,Genesee River,L,23.8,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,UnAssessed,UnAssessed,UnAssessed,10/28/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0051.pdf,96157.643912689193000,0.021071010107079,0.000012011636814
23,1/10/2013 0:00:00,00963103,Rush Reservoir,04130003002961,390,39009,0.000000000000000,0.000000000000000,0.283553000000000,0.400310000000000,0.683863000000000,5.012554480400000,13.806699999999999,0.049531242080000,0.000000000000000,Genesee River Basin,04,0.012667337962700,03002961,2,0402RUS0033,ONT-117-P33,Monroe,Lake,Rush Reservoir, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402RUS0033_C,No,C,0402-0072,Rush Reservoir Centroid,43.0163994,-77.6434021,0.020537347810000, ,156,0402-0072,Ont 117- 27- 7-P33,Rush Reservoir,entire lake,Genesee River,L,12.9,N/A,-,N/A,-,N/A,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,8/13/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0072.pdf,52295.554721852503000,0.012667337962710,0.000006167525488
24,10/3/2007 0:00:00,00945732,Canadice Lake,04130003001277,390,39009,111.731289000000000,89.957335000000000,396.723989000000020,639.673300000000040,1238.085912999999900,8041.880000000000100,722.778000000000020,1.712954618150000,0.000000000000000,Genesee River Basin,04,0.122557022525000,03001277,2,0402CAN0043,ONT-117-27-34-11-P43,Ontario,Lake,Canadice Lake, ,No,Genesee River Basin,Mt. Morris to Barge Canal,0402CAN0043_C,Yes,AATS,0402-0002,Canadice Lake Centroid,42.7183990,-77.5688019,0.827934183110000,2017,60,0402-0002,Ont 117- 27-34-11-P43,Canadice Lake,entire lake,Genesee River,L,668.7,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Impaired,Known,UnAssessed,-,UnAssessed,UnAssessed,Impaired,Strategy Implementation Scheduled or Underway,10/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0002.pdf,2705977.011015940000000,0.122557022524637,0.000321347962352
25,1/10/2013 0:00:00,00971289,Lake Willene,04130002001430,390,39009,0.000000000000000,0.000000000000000,3.758467000000000,0.378071000000000,4.136538000000000,6.857515648770000,11.867800000000001,0.348551374310000,0.000000000000000,Genesee River Basin,04,0.010788438158000,02001430,2,0403WIL0138D,ONT-117-104-17-P138D,Wyoming,Lake,Lake Willene, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403WIL0138D_C,No,C,0403-0050,Lake Willene Centroid,42.5573006,-78.3069992,0.316694501090000, ,158,0403-0050,"Ont 117-104-P138c,P138d","Dream Lake, Lake Willene",total area of both lakes,Genesee River,L,16.6,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,6/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0050.pdf,67022.805667462904000,0.010788438158025,0.000005259277544
26,11/5/2009 0:00:00, , ,04130002001367,390,39009,39.694009999999999,45.867666999999997,1434.933792999999900,256.732211000000010,1777.227681000000100,4135.540000000000000,8.977752822250000,197.959000000000000,0.000000000000000,Genesee River Basin,04,0.008471279767890,02001367,2,0403WET0133,ONT-117-104-3-P133,Wyoming,Lake,Wethersfield Pond, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403WET0133_C,No,A,0403-0049,Wethersfield Pond Centroid,42.6853981,-78.2023010,169.363000000000000, ,110,0403-0049,Ont 117-104- 3-P133,Wethersfields Springs Pond,entire lake,Genesee River,L,10,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,UnAssessed,-,Unknown,Unknown,UnAssessed,UnAssessed,6/9/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0049.pdf,40590.224858374604000,0.008471279767885,0.000003987097469
27,10/3/2007 0:00:00,00953241,Horseshoe Lake,04130003001242,390,39009,45.574604999999998,531.025313999999980,626.707701000000040,39.497262999999997,1242.804881999999900,1992.920000000000100,28.628200000000000,43.411900000000003,0.000000000000000,Genesee River Basin,04,0.028001024108500,03001242,2,0402HOR0018,ONT-117-19-30-P18,Genesee,Lake,Horseshoe Lake, ,Yes,Genesee River Basin,Mt. Morris to Barge Canal,0402HOR0018_DH,No,B,0402-0052,HORSEHOE LAKE DEEP HOLE,43.0056000,-78.1203995,42.032200000000003,2009,72,0402-0052,Ont 117- 19-30-P 18,Horseshoe Lake,entire lake,Genesee River,L,24.8,N/A,-,N/A,-,Fully Supported,Unconfirmed,Fully Supported,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,No Known Impact,No Action Needed,10/7/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0402-0052.pdf,100438.107811961000000,0.028001024108475,0.000012780064378
28,5/22/2003 0:00:00,00964506,Saunders Pond,04130002001504,390,39009,2.940297000000000,0.868325000000000,9.546284000000000,22.194970999999999,35.549878000000000,249.014000000000010,12.108800000000000,2.935871267180000,0.000000000000000,Genesee River Basin,04,0.017287016554100,02001504,2,0403SAU0159B,ONT-117-169-3-P159B,Allegany,Lake,Saunders Lake, ,No,Genesee River Basin,Pa. border to Mt. Morris,0403SAU0159B_C,No,C,0403-0054,Saunders Lake Centroid,42.2276993,-77.9860001,1.102909206530000, ,82,0403-0054,"Ont 117-169-P159a,P159b","Amity Lake, Saunders Pond",total area of both lakes,Genesee River,L,33,N/A,-,N/A,-,N/A,-,Impaired,Known,Fully Supported,Unconfirmed,Fully Supported,Suspected,Good,Good,Impaired,Verification of Source Needed,10/28/2015 0:00:00,https://www.dec.ny.gov/data/WQP/PWL/0403-0054.pdf,133483.496746527990000,0.017287016554146,0.000005340198351
