SAMPLE_NAME,Characteristic Name,resultvalue,resultunit,labnamecode,Lab Sample Name,,,,,,,,
18-100-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.90,µg/L,UFI,2018212044,,,,,,,,
18-100-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.60,µg/L,UFI,2018212044,,,,,,,,
18-100-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018212044,,,,,,,,
18-100-05,Chlorophyll a (probe relative fluorescence),4.10,µg/L,UFI,2018233047,,,,,,,,
18-100-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",2.70,µg/L,UFI,2018233047,,,,,,,,
18-100-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.20,µg/L,UFI,2018233047,,,,,,,,
18-100-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.20,µg/L,UFI,2018233047,,,,,,,,
18-100-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018233047,,,,,,,,
18-100-06,Chlorophyll a (probe relative fluorescence),4.20,µg/L,UFI,2018249027,,,,,,,,
18-100-06,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.90,µg/L,UFI,2018249027,,,,,,,,
18-100-06,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.40,µg/L,UFI,2018249027,,,,,,,,
18-100-06,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.80,µg/L,UFI,2018249027,,,,,,,,
18-100-06,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018249027,,,,,,,,
18-100-07,Chlorophyll a (probe relative fluorescence),3.80,µg/L,UFI,2018261149,,,,,,,,
18-100-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.80,µg/L,UFI,2018261149,,,,,,,,
18-100-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.40,µg/L,UFI,2018261149,,,,,,,,
18-100-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.50,µg/L,UFI,2018261149,,,,,,,,
18-100-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.10,µg/L,UFI,2018261149,,,,,,,,
18-100-08,Chlorophyll a (probe relative fluorescence),4.60,µg/L,UFI,2018275052,,,,,,,,
18-100-08,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.90,µg/L,UFI,2018275052,,,,,,,,
18-100-08,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.60,µg/L,UFI,2018275052,,,,,,,,
18-100-08,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.10,µg/L,UFI,2018275052,,,,,,,,
18-100-08,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018275052,,,,,,,,
18-1-01,Chlorophyll a (probe relative fluorescence),27.80,µg/L,UFI,2018178041,,,,,,,,
18-1-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",11.10,µg/L,UFI,2018178041,,,,,,,,
18-1-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",11.00,µg/L,UFI,2018178041,,,,,,,,
18-1-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",4.20,µg/L,UFI,2018178041,,,,,,,,
18-1-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.50,µg/L,UFI,2018178041,,,,,,,,
18-1-02,Chlorophyll a (probe relative fluorescence),56.10,µg/L,UFI,2018192036,,,,,,,,
18-1-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",39.70,µg/L,UFI,2018192036,,,,,,,,
18-1-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",11.50,µg/L,UFI,2018192036,,,,,,,,
18-1-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",3.00,µg/L,UFI,2018192036,,,,,,,,
18-1-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.90,µg/L,UFI,2018192036,,,,,,,,
18-102-01,Chlorophyll a (probe relative fluorescence),26.90,µg/L,UFI,2018156034,,,,,,,,
18-102-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",14.90,µg/L,UFI,2018156034,,,,,,,,
18-102-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",9.00,µg/L,UFI,2018156034,,,,,,,,
18-102-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",2.30,µg/L,UFI,2018156034,,,,,,,,
18-102-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.60,µg/L,UFI,2018156034,,,,,,,,
18-102-02,Chlorophyll a (probe relative fluorescence),78.50,µg/L,UFI,2018170043,,,,,,,,
18-102-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",42.30,µg/L,UFI,2018170043,,,,,,,,
18-102-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",36.20,µg/L,UFI,2018170043,,,,,,,,
18-102-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018170043,,,,,,,,
18-102-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018170043,,,,,,,,
18-102-03,Chlorophyll a (probe relative fluorescence),39.40,µg/L,UFI,2018191051,,,,,,,,
18-102-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",32.20,µg/L,UFI,2018191051,,,,,,,,
18-102-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",5.60,µg/L,UFI,2018191051,,,,,,,,
18-102-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.20,µg/L,UFI,2018191051,,,,,,,,
18-102-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.40,µg/L,UFI,2018191051,,,,,,,,
18-102-04,Chlorophyll a (probe relative fluorescence),107.00,µg/L,UFI,2018205070,,,,,,,,
18-102-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",62.10,µg/L,UFI,2018205070,,,,,,,,
18-102-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",44.90,µg/L,UFI,2018205070,,,,,,,,
18-102-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.05,µg/L,UFI,2018205070,,,,,,,,
18-102-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018205070,,,,,,,,
18-102-05,Chlorophyll a (probe relative fluorescence),39.30,µg/L,UFI,2018220089,,,,,,,,
18-102-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",33.00,µg/L,UFI,2018220089,,,,,,,,
18-102-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",3.40,µg/L,UFI,2018220089,,,,,,,,
18-102-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",2.50,µg/L,UFI,2018220089,,,,,,,,
18-102-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.30,µg/L,UFI,2018220089,,,,,,,,
18-102-06,Chlorophyll a (probe relative fluorescence),99.90,µg/L,UFI,2018240080,,,,,,,,
18-102-06,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",61.50,µg/L,UFI,2018240080,,,,,,,,
18-102-06,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",33.20,µg/L,UFI,2018240080,,,,,,,,
18-102-06,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",4.70,µg/L,UFI,2018240080,,,,,,,,
18-102-06,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.50,µg/L,UFI,2018240080,,,,,,,,
18-102-07,Chlorophyll a (probe relative fluorescence),32.50,µg/L,UFI,2018254072,,,,,,,,
18-102-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",13.70,µg/L,UFI,2018254072,,,,,,,,
18-102-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",12.60,µg/L,UFI,2018254072,,,,,,,,
18-102-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",5.20,µg/L,UFI,2018254072,,,,,,,,
18-102-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.00,µg/L,UFI,2018254072,,,,,,,,
18-102-08,Chlorophyll a (probe relative fluorescence),44.10,µg/L,UFI,2018268039,,,,,,,,
18-102-08,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",25.40,µg/L,UFI,2018268039,,,,,,,,
18-102-08,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",11.50,µg/L,UFI,2018268039,,,,,,,,
18-102-08,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",6.10,µg/L,UFI,2018268039,,,,,,,,
18-102-08,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.10,µg/L,UFI,2018268039,,,,,,,,
18-102-B1,Chlorophyll a (probe relative fluorescence),20187.50,µg/L,UFI,2018191001,,,,,,,,
18-102-B1,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",18368.00,µg/L,UFI,2018191001,,,,,,,,
18-102-B1,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1366.50,µg/L,UFI,2018191001,,,,,,,,
18-102-B1,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",345.20,µg/L,UFI,2018191001,,,,,,,,
18-102-B1,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",107.80,µg/L,UFI,2018191001,,,,,,,,
18-102-B2,Chlorophyll a (probe relative fluorescence),134.60,µg/L,UFI,2018220046,,,,,,,,
18-102-B2,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",90.90,µg/L,UFI,2018220046,,,,,,,,
18-102-B2,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",25.50,µg/L,UFI,2018220046,,,,,,,,
18-102-B2,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",18.20,µg/L,UFI,2018220046,,,,,,,,
18-102-B2,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018220046,,,,,,,,
18-102-B3,Chlorophyll a (probe relative fluorescence),6693.10,µg/L,UFI,2018268011,,,,,,,,
18-102-B3,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",6202.30,µg/L,UFI,2018268011,,,,,,,,
18-102-B3,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",430.20,µg/L,UFI,2018268011,,,,,,,,
18-102-B3,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",60.60,µg/L,UFI,2018268011,,,,,,,,
18-102-B3,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018268011,,,,,,,,
18-1-03,Chlorophyll a (probe relative fluorescence),117.00,µg/L,UFI,2018206073,,,,,,,,
18-1-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",103.20,µg/L,UFI,2018206073,,,,,,,,
18-1-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",10.60,µg/L,UFI,2018206073,,,,,,,,
18-1-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",2.30,µg/L,UFI,2018206073,,,,,,,,
18-1-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.80,µg/L,UFI,2018206073,,,,,,,,
18-103-01,Chlorophyll a (probe relative fluorescence),3.80,µg/L,UFI,2018159007,,,,,,,,
18-103-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.70,µg/L,UFI,2018159007,,,,,,,,
18-103-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.20,µg/L,UFI,2018159007,,,,,,,,
18-103-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.50,µg/L,UFI,2018159007,,,,,,,,
18-103-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.40,µg/L,UFI,2018159007,,,,,,,,
18-103-02,Chlorophyll a (probe relative fluorescence),10.80,µg/L,UFI,2018172013,,,,,,,,
18-103-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",5.20,µg/L,UFI,2018172013,,,,,,,,
18-103-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",5.10,µg/L,UFI,2018172013,,,,,,,,
18-103-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.30,µg/L,UFI,2018172013,,,,,,,,
18-103-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.20,µg/L,UFI,2018172013,,,,,,,,
18-103-03,Chlorophyll a (probe relative fluorescence),6.40,µg/L,UFI,2018193018,,,,,,,,
18-103-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",4.00,µg/L,UFI,2018193018,,,,,,,,
18-103-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.50,µg/L,UFI,2018193018,,,,,,,,
18-103-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.90,µg/L,UFI,2018193018,,,,,,,,
18-103-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018193018,,,,,,,,
18-103-04,Chlorophyll a (probe relative fluorescence),7.10,µg/L,UFI,2018200008,,,,,,,,
18-103-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",5.10,µg/L,UFI,2018200008,,,,,,,,
18-103-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.10,µg/L,UFI,2018200008,,,,,,,,
18-103-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.80,µg/L,UFI,2018200008,,,,,,,,
18-103-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.05,µg/L,UFI,2018200008,,,,,,,,
18-103-05,Chlorophyll a (probe relative fluorescence),9.60,µg/L,UFI,2018212009,,,,,,,,
18-103-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",5.50,µg/L,UFI,2018212009,,,,,,,,
18-103-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.40,µg/L,UFI,2018212009,,,,,,,,
18-103-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.50,µg/L,UFI,2018212009,,,,,,,,
18-103-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.20,µg/L,UFI,2018212009,,,,,,,,
18-103-06,Chlorophyll a (probe relative fluorescence),13.20,µg/L,UFI,2018227018,,,,,,,,
18-103-06,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",6.50,µg/L,UFI,2018227018,,,,,,,,
18-103-06,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",4.60,µg/L,UFI,2018227018,,,,,,,,
18-103-06,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.60,µg/L,UFI,2018227018,,,,,,,,
18-103-06,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.50,µg/L,UFI,2018227018,,,,,,,,
18-103-07,Chlorophyll a (probe relative fluorescence),8.50,µg/L,UFI,2018256030,,,,,,,,
18-103-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",4.90,µg/L,UFI,2018256030,,,,,,,,
18-103-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.00,µg/L,UFI,2018256030,,,,,,,,
18-103-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.60,µg/L,UFI,2018256030,,,,,,,,
18-103-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.10,µg/L,UFI,2018256030,,,,,,,,
18-103-08,Chlorophyll a (probe relative fluorescence),12.40,µg/L,UFI,2018276009,,,,,,,,
18-103-08,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",6.80,µg/L,UFI,2018276009,,,,,,,,
18-103-08,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",3.20,µg/L,UFI,2018276009,,,,,,,,
18-103-08,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.20,µg/L,UFI,2018276009,,,,,,,,
18-103-08,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.20,µg/L,UFI,2018276009,,,,,,,,
18-103-99,Chlorophyll a (probe relative fluorescence),18.10,µg/L,UFI,2018211009,,,,,,,,
18-103-99,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",10.10,µg/L,UFI,2018211009,,,,,,,,
18-103-99,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",5.50,µg/L,UFI,2018211009,,,,,,,,
18-103-99,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.40,µg/L,UFI,2018211009,,,,,,,,
18-103-99,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.10,µg/L,UFI,2018211009,,,,,,,,
18-1-04,Chlorophyll a (probe relative fluorescence),34.10,µg/L,UFI,2018219076,,,,,,,,
18-1-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",25.40,µg/L,UFI,2018219076,,,,,,,,
18-1-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",5.00,µg/L,UFI,2018219076,,,,,,,,
18-1-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",2.10,µg/L,UFI,2018219076,,,,,,,,
18-1-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.70,µg/L,UFI,2018219076,,,,,,,,
18-104-01,Chlorophyll a (probe relative fluorescence),3.90,µg/L,UFI,2018165001,,,,,,,,
18-104-01,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.40,µg/L,UFI,2018165001,,,,,,,,
18-104-01,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.20,µg/L,UFI,2018165001,,,,,,,,
18-104-01,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.30,µg/L,UFI,2018165001,,,,,,,,
18-104-01,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.10,µg/L,UFI,2018165001,,,,,,,,
18-104-02,Chlorophyll a (probe relative fluorescence),1.80,µg/L,UFI,2018184029,,,,,,,,
18-104-02,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.00,µg/L,UFI,2018184029,,,,,,,,
18-104-02,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.70,µg/L,UFI,2018184029,,,,,,,,
18-104-02,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.10,µg/L,UFI,2018184029,,,,,,,,
18-104-02,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018184029,,,,,,,,
18-104-03,Chlorophyll a (probe relative fluorescence),4.40,µg/L,UFI,2018192050,,,,,,,,
18-104-03,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",2.70,µg/L,UFI,2018192050,,,,,,,,
18-104-03,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.30,µg/L,UFI,2018192050,,,,,,,,
18-104-03,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.40,µg/L,UFI,2018192050,,,,,,,,
18-104-03,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018192050,,,,,,,,
18-104-04,Chlorophyll a (probe relative fluorescence),5.40,µg/L,UFI,2018207097,,,,,,,,
18-104-04,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",2.70,µg/L,UFI,2018207097,,,,,,,,
18-104-04,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.30,µg/L,UFI,2018207097,,,,,,,,
18-104-04,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.00,µg/L,UFI,2018207097,,,,,,,,
18-104-04,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.30,µg/L,UFI,2018207097,,,,,,,,
18-104-05,Chlorophyll a (probe relative fluorescence),6.20,µg/L,UFI,2018234069,,,,,,,,
18-104-05,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",2.80,µg/L,UFI,2018234069,,,,,,,,
18-104-05,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",2.80,µg/L,UFI,2018234069,,,,,,,,
18-104-05,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.60,µg/L,UFI,2018234069,,,,,,,,
18-104-05,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018234069,,,,,,,,
18-104-07,Chlorophyll a (probe relative fluorescence),5.30,µg/L,UFI,2018254074,,,,,,,,
18-104-07,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",2.70,µg/L,UFI,2018254074,,,,,,,,
18-104-07,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.80,µg/L,UFI,2018254074,,,,,,,,
18-104-07,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.70,µg/L,UFI,2018254074,,,,,,,,
18-104-07,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018254074,,,,,,,,
18-104-08,Chlorophyll a (probe relative fluorescence),8.30,µg/L,UFI,2018261154,,,,,,,,
18-104-08,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",5.50,µg/L,UFI,2018261154,,,,,,,,
18-104-08,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",2.80,µg/L,UFI,2018261154,,,,,,,,
18-104-08,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.05,µg/L,UFI,2018261154,,,,,,,,
18-104-08,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.05,µg/L,UFI,2018261154,,,,,,,,
18-104-B1,Chlorophyll a (probe relative fluorescence),5.90,µg/L,UFI,2018165019,,,,,,,,
18-104-B1,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",3.50,µg/L,UFI,2018165019,,,,,,,,
18-104-B1,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.20,µg/L,UFI,2018165019,,,,,,,,
18-104-B1,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.70,µg/L,UFI,2018165019,,,,,,,,
18-104-B1,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",0.50,µg/L,UFI,2018165019,,,,,,,,
18-104-B2,Chlorophyll a (probe relative fluorescence),5.90,µg/L,UFI,2018179006,,,,,,,,
18-104-B2,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",3.10,µg/L,UFI,2018179006,,,,,,,,
18-104-B2,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.20,µg/L,UFI,2018179006,,,,,,,,
18-104-B2,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",1.10,µg/L,UFI,2018179006,,,,,,,,
18-104-B2,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.50,µg/L,UFI,2018179006,,,,,,,,
18-104-B3,Chlorophyll a (probe relative fluorescence),6.20,µg/L,UFI,2018192015,,,,,,,,
18-104-B3,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",2.60,µg/L,UFI,2018192015,,,,,,,,
18-104-B3,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",2.50,µg/L,UFI,2018192015,,,,,,,,
18-104-B3,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",0.70,µg/L,UFI,2018192015,,,,,,,,
18-104-B3,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",0.40,µg/L,UFI,2018192015,,,,,,,,
18-104-B4,Chlorophyll a (probe relative fluorescence),4.50,µg/L,UFI,2018207102,,,,,,,,
18-104-B4,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",1.70,µg/L,UFI,2018207102,,,,,,,,
18-104-B4,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1.10,µg/L,UFI,2018207102,,,,,,,,
18-104-B4,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",1.10,µg/L,UFI,2018207102,,,,,,,,
18-104-B4,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",0.60,µg/L,UFI,2018207102,,,,,,,,
18-104-B5,Chlorophyll a (probe relative fluorescence),2015.10,µg/L,UFI,2018234021,,,,,,,,
18-104-B5,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",1874.40,µg/L,UFI,2018234021,,,,,,,,
18-104-B5,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",55.30,µg/L,UFI,2018234021,,,,,,,,
18-104-B5,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",50.10,µg/L,UFI,2018234021,,,,,,,,
18-104-B5,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",35.30,µg/L,UFI,2018234021,,,,,,,,
18-104-B6,Chlorophyll a (probe relative fluorescence),255.00,µg/L,UFI,2018254086,,,,,,,,
18-104-B6,"Chlorophyll a (probe) concentration, Chlorophyte (green algae)",102.60,µg/L,UFI,2018254086,,,,,,,,
18-104-B6,"Chlorophyll a (probe) concentration, Dinophyta (diatoms)",87.80,µg/L,UFI,2018254086,,,,,,,,
18-104-B6,"Chlorophyll a (probe) concentration, Cyanobacteria (bluegreen)",47.30,µg/L,UFI,2018254086,,,,,,,,
18-104-B6,"Chlorophyll a (probe) concentration, Cryptophyta (cryptophytes)",17.40,µg/L,UFI,2018254086,,,,,,,,
18-104-B7,Chlorophyll a (probe relative fluorescence),54139.80,µg/L,UFI,2018261013,,,,,,,,
